IOP,P1,P2,P4,P5
0.0,42.80753395,34.59722562,21.18448685,19.13561135
1.0,42.84026513547198,34.6417093437774,21.212833612447895,19.126952245877003
2.0,42.87466158911257,34.688566378377324,21.242639362942725,19.1178525870594
3.0,42.91082163343045,34.737937448183395,21.27399007550453,19.10828636637978
4.0,42.94884952186942,34.7899717732227,21.306976904032084,19.098226003356185
5.0,42.98885573797209,34.84482750401015,21.341696444731635,19.08764226932007
6.0,43.03095729752761,34.902672155728794,21.37825099971735,19.076504207482436
7.0,43.075278049561966,34.96368304091596,21.416748839536847,19.06477905330618
8.0,43.121948972649946,35.02804769562475,21.457304461537117,19.052432156116115
9.0,43.17110846236292,35.09596429307819,21.5000388404044,19.039426903053986
10.0,43.222902604933246,35.16764203778214,21.545079666569755,19.025724646679976
11.0,43.27748543141554,35.243301531916,21.592561567472117,19.011284637733723
12.0,43.33501914576432,35.323175104586,21.642626305917442,18.996063964795933
13.0,43.39567431933481,35.40750709321696,21.695422948974798,18.980017502832695
14.0,43.459630043365124,35.496554064997255,21.751108000020476,18.963097872856018
15.0,43.52707403003247,35.59058496490602,21.809845485697494,18.94525541518917
16.0,43.59820265172184,35.68988117548075,21.871806988723947,18.926438179078065
17.0,43.673220907237024,35.79473647217777,21.937171616689948,18.906591931630206
18.0,43.752342302863624,35.90545685699767,22.006125896266965,18.885660189279736
19.0,43.88205120472801,36.088385575668546,22.19357048039187,18.85134540889845
20.0,44.43123677897815,36.87002245592108,23.416661640433897,18.70605713571063
21.0,45.09280916399664,37.812109620671,24.91182461629908,18.531036680121783
22.0,45.80422241604126,38.825376933251334,26.52065152341399,18.342830711577143
23.0,46.53107589396002,39.8607264260159,28.157959597915855,18.15053999670983
24.0,47.25131443961971,40.886683415175014,29.771341865517858,17.9599992769812
25.0,47.95075411165798,41.88300937442258,31.32876622900936,17.774960945833765
26.0,48.62076190871239,42.837388812131536,32.81194360218223,17.597708883105565
27.0,49.25663374601263,43.74311312209066,34.211859182550235,17.429487564954123
28.0,49.856367730146665,44.59732913398381,35.52558381630638,17.27082659676344
29.0,50.41974812734071,45.39973151080766,36.754021385434434,17.121783051386355
30.0,50.947684903932206,46.151620170188075,37.90036145354349,16.982116195191068
31.0,51.44175417131854,46.85524457747333,38.96904799324536,16.85140906437879
32.0,51.903888462919674,47.51336193184745,39.96511203151414,16.729150402906697
33.0,52.33617410918581,48.12894820457053,40.89375288194678,16.614788267383304
34.0,52.7407227602918,48.7050149775106,41.76008492521001,16.50776401602728
35.0,53.11959301165039,49.24449775575555,42.568992355954535,16.407533042813387
36.0,53.474745220422655,49.75019161688189,43.32505301174195,16.313576730865798
37.0,53.80801791171166,50.224717642641124,44.03250551637154,16.2254086942524
38.0,54.12111795446856,50.67050897704613,44.69524290200969,16.142577376970817
39.0,54.41561930496028,51.089809091165385,45.31682183946449,16.064666385366852
40.0,54.692966895292955,51.48467737440876,45.90048053798396,15.991293459416902
41.0,54.95448343978357,51.856998877363814,46.44916094446396,15.922108672087106
42.0,55.201377728032206,52.20849616669687,46.96553253798096,15.856792235382525
43.0,55.43475350026189,52.54074200374004,47.45201608922337,15.795052152356089
44.0,55.6556183469306,52.855172052292595,47.91080644129251,15.736621862696344
45.0,55.86489230100867,53.153097143835275,48.343893803647234,15.681257969621212
46.0,56.06341593804553,53.435714837425145,48.753083323101414,15.628738096987208
47.0,56.25195789317537,53.704120145461644,49.14001286244192,15.578858900648754
48.0,56.431221763475115,53.959315380885634,49.506169016000854,15.531434242423932
49.0,56.6018524005143,54.20221913319989,49.852901446846886,15.48629352538633
50.0,56.764441619447645,54.43367441127698,50.18143565804852,15.4432801835118
51.0,62.09648283114342,62.04378025796413,38.4189022452195,14.032676743551985
52.0,62.10839392163136,62.06075978965756,38.40268737108735,14.029525637896777
53.0,62.11841182796457,62.07504075810519,38.38887243646448,14.026875378348178
54.0,62.12694277341084,62.08720218488717,38.37695774743681,14.024618497631236
55.0,62.134285602129,62.09767003622356,38.36657392359527,14.022675935854679
56.0,62.1406649634825,62.1067645232722,38.357441851607554,14.020988261526458
57.0,62.14625290380526,62.1147308784794,38.34934660788051,14.019509959403758
58.0,62.151183337794954,62.12175998266174,38.34211995701221,14.018205602053499
59.0,62.155561998634475,62.12800254757094,38.33562829627504,14.01704721752543
60.0,62.1594734336552,62.133579087258994,38.32976416104595,14.016012438633753
61.0,62.162986020404404,62.13858706779372,38.32444011868383,14.015083175945252
62.0,62.16615562667104,62.1431061241221,38.319584300796386,14.01424464951128
63.0,62.16902832316795,62.14720192662727,38.31513708203865,14.013484671221612
64.0,62.17164242262796,62.15092908758321,38.311048575711084,14.012793105357005
65.0,62.17403003229154,62.15433337401799,38.30727672069973,14.012161457875111
66.0,62.176218249758094,62.15745341224233,38.30378580282752,14.011582560045339
67.0,62.17823009400043,62.160322014890674,38.30054529960365,14.0110503221469
68.0,62.180085237331284,62.16296722424738,38.29752896867442,14.010559539825419
69.0,62.18180058610343,62.16541313996372,38.294714121984256,14.010105740467415
70.0,62.1833907452747,62.167680581240134,38.292081042921254,14.009685060298596
71.0,62.18486839296266,62.16978762071101,38.289612514607484,14.009294145294579
72.0,62.186244584621186,62.17175001801487,38.28729343535369,14.00893007071029
73.0,62.187529001736934,62.173581574284825,38.28511050303682,14.008590275286759
74.0,62.18873015645433,62.175294423820795,38.28305195439874,14.00827250711712
